"","Nimi","Punktid15","Punktid16","Punktid17","Punktid18","pkokku"
"1","Linda Randpere","644.75","321.75","487.75","0",1454.25
"15","Susan Kaleta","28","581","416.8","230.3",1256.1
"5","Helen-Britt Liidemann","210.25","34","175.5","260.15",679.9
"9","Stefani Sabrodin","122","114","319.1","100.4",655.5
"59","Helene Marie Rägo","0","0","0","593",593
"2","Kristi Luha","402.9","33","17","104.25",557.15
"14","Kristjan Sinikas","50","133.5","246.25","45",474.75
"7","Britt Nigul","135.5","76","154","90",455.5
"6","Rain Koch","145","239.5","42","27",453.5
"24","Janika Pirel Jasmin Hirvi","0","173.55","276.7","0",450.25
"27","Helina Kalev","0","108","202.25","105.4",415.65
"25","Stella-Ingrid Liinamäe","0","145.25","171","98",414.25
"47","Camille Mahoni","0","0","287","122.5",409.5
"60","Kaia Loviisa Kink","0","0","0","346.8",346.8
"3","Meriel Isok","337.1","0","0","0",337.1
"23","Annabel Lõuke","0","287.75","30","0",317.75
"4","Mai-Britt Nuudi","288","0","0","0",288
"52","My Relander","0","0","30","198",228
"16","Karolin Valge","24","0","62","125.5",211.5
"19","Brita Tuvi","3","139.5","27","31",200.5
"10","Ingrid Soomets","118.25","76","0","0",194.25
"45","Kert Joandi","0","1","20","160",181
"30","Kätlin H. Sehver","0","61.2","98","0",159.2
"8","Merilyn Isok","129","17","0","0",146
"12","Berit Põldoja","77","35","21","0",133
"61","Andres Zirk","0","0","0","131",131
"26","Kaie Aamisepp","0","123.5","0","0",123.5
"11","Catlyn Resto","84","30","0","0",114
"62","Andrey Rudoy","0","0","0","104.5",104.5
"28","Genely Mänd","0","104","0","0",104
"29","Kristin Johanna Koppelmaa","0","98","0","0",98
"21","Kärol Järviste","2","0","0","81.9",83.9
"18","Laura Maria Tammeleht","16","62.1","0","0",78.1
"48","Johann Zeiger","0","0","71","0",71
"34","Olesja Mironjuk","0","18","44","0",62
"31","Jessica Raide","0","38","16","0",54
"54","Deily Aul","0","0","24","30",54
"13","Sandra Liis Hääl","53.25","0","0","0",53.25
"44","Veronika Meriküll","0","3","50","0",53
"20","Jürgen Mark","2","33","14","0",49
"17","Mariah Orover","24","23","0","0",47
"49","Andreas Lootus","0","0","40.5","6",46.5
"51","Hanna-Marie Vabaoja","0","0","30","13",43
"32","Melissa-Marion Amiel","0","36","0","0",36
"50","Anetta Vanessa Järg","0","0","32","0",32
"53","Dagmar Ainsoo","0","0","26","0",26
"63","Ketlin Ramjalg","0","0","0","23.5",23.5
"55","Katerina Reiska","0","0","20","0",20
"33","Ilja Grunin","0","18","0","0",18
"35","Tjorven Siiboja","0","18","0","0",18
"64","Grete Rebane","0","0","0","16",16
"36","Ragne Liigia Hiir","0","14","0","0",14
"37","Minna Veedler","0","12","0","0",12
"56","Krista Kutsar","0","0","12","0",12
"38","Celin Lannusalu","0","9","0","0",9
"39","Lotte-Getter Saar","0","8","0","0",8
"40","Teele Talts","0","8","0","0",8
"57","Chrisly Mamedov","0","0","8","0",8
"65","Helen Rätsepp","0","0","0","7",7
"41","Heili Püümann","0","6","0","0",6
"66","Marie-Annabel Reiner","0","0","0","4",4
"42","Kertu Reimann","0","3","0","0",3
"43","Pilleriin Kosk","0","3","0","0",3
"22","Triin Tammar","1","1","0","0",2
"58","Kristin Kaasik","0","0","2","0",2
"67","Kati Raidma","0","0","0","2",2
"46","Kristi Traagel","0","1","0","0",1
